Generated_Location,Realistic_Location
City1,Lake Robert
City346,West Mary
City62,Danieltown
City234,Brooksside
City266,East Isabellaberg
City497,South Keith
City104,Wongfurt
City230,Michaelview
City54,West Jennifer
City174,North Markchester
City172,North Jessicamouth
City349,Andreatown
City163,New Linda
City426,Catherinechester
City205,Lake Melissamouth
City75,North David
City149,Garciastad
City445,Joseview
City223,Rodriguezstad
City72,East Andrea
City158,Lake Daniel
City184,East Michaelland
City276,Frederickhaven
City465,Samanthahaven
City494,New Patriciaville
City268,Tiffanyburgh
City469,West Daniel
City428,North Michael
City416,East Victoriaton
City254,Kellihaven
City34,Bradleyport
City359,Stefanieshire
City161,Johnsonport
City305,South Johnnyview
City7,North Destiny
City300,Patrickhaven
City175,Bentleyton
City483,North Davidshire
City473,Wendyburgh
City261,Earlberg
City408,New Cynthia
City113,Walkerbury
City458,Colinfurt
City89,Ryanton
City366,South Meganfort
City90,Lake Adamfort
City214,New Michael
City148,East Stephenhaven
City459,Chapmanfort
City341,Dorseyport
City193,South Marcus
City393,South Garytown
City251,Thomasport
City476,West Jenniferborough
City4,New Jose
City438,New Richard
City95,Jamesside
City150,New Ashley
City281,Jenniferbury
City96,Winterston
City295,South Kellyburgh
City66,Michelleborough
City367,West Daniellehaven
City70,Johnmouth
City394,Manuelbury
City285,Lake Christineshire
City384,Port Katie
City312,East William
City296,Davidberg
City453,New James
City82,East Jennifer
City102,East Jeffreyburgh
City294,Martinezbury
City284,Taylortown
City221,Rowlandville
City171,Port Jessica
City409,Williammouth
City310,Smithfurt
City291,New Nicole
City455,East Audrey
City324,Greenfurt
City41,East Jacobmouth
City44,West Katherineburgh
City129,Hahnburgh
City213,South Dana
City331,Hernandezton
City417,North Michael
City382,Smithbury
City228,South Lori
City332,Ashleychester
City353,Lake Seth
City364,North Ricky
City155,Bryanburgh
City442,Melindaburgh
City440,Wendybury
City297,Port Tarafurt
City315,Jonesborough
City492,Paulland
City322,North Brittany
City450,North Cynthia
City2,Wademouth
City439,South Johnchester
